PODSKUPINA,Trieda,Množstvový limit,Limit Value,Limit Unit,Monthly Limit,Unit,Yearly Limit
,K3.1.4 Podložky celotelové antidekubitné dĺžka strany nad 120 cm,1 kus za rok,,,,,
,K3.1.5 Podložky AD hlavy a krku,1 kus za 2 roky,,,,,
,K3.1.6 Podložky hlavy a krku,1 kus za 2 roky,,,,,
,K3.1.7 Podložky antidekubitné pre končatiny,1 kus za 2 roky,,,,,
,K3.2.1 Matrace AD polohovacie bez kompresoru,1 kus za 2 roky,,,,,
,K3.2.2 Matrace AD polohovacie s kompresorom,1 kus za 5 rokov,,,,,
,K3.2.3 Matrace AD polohovacie s tvarovou pamäťou,1 kus za 5 rokov,,,,,
,K3.3 Valce rehabilitačné polohovacie,2 kusy za 2 roky,,,,,
,K3.4 Polvalce rehabilitačné polohovacie,2 kusy za 2 roky,,,,,
,K3.5 Kliny rehabilitačné polohovacie,2 kusy za 2 roky,,,,,
,K3.6 Podložky podhlavníky rehabilitačné na polohovanie hlavy a krku,2 kusy za 2 roky,,,,,
,K3.7 Podložky rehabilitačné na polohovanie končatín alebo trupu I,2 kusy za 2 roky,,,,,
,K3.8 Podložky rehabilitačné na polohovanie končatín alebo trupu II,2 kusy za 2 roky,,,,,
,K3.9 Polohovacie pomôcky rehabilitačné ostatné,2 kusy za 2 roky,,,,,
K4,"K4.1 Závesy, dlahy statické a dynamické a pod.",1 kus za 3 roky,,,,,
,K4.2 Rehabilitačné pomôcky dynamické,1 kus za 3 roky,,,,,
K5,K5.1 Držadlá/madlá/pevné,3 kusy jednorazovo,,,,,
,K5.2 Držadlá/madlá/sklopné,3 kusy jednorazovo,,,,,
,"K5.3 Dosky, sedadlá a stolčeky vaňové",1 kus jednorazovo,,,,,
,"K5.4 Stolčeky, sedadlá a stoličky sprchovacie",1 kus jednorazovo,,,,,
K6,"K6.1 Zvyšovače WC, podstavce a sedadlá toaletné",1 kus jednorazovo,,,,,
,K6.2 Ležadlá toaletné detské s oporou trupu,1 kus jednorazovo,,,,,
,K6.3 Stoličky a kreslá toaletné so zbernou nádobou,1 kus jednorazovo,,,,,
,"K6.5 Ostatné hygienické, kompenzačné a ošetrovacie pomôcky vyššie nezaradené",1 kus jednorazovo,,,,,
K7,"K7 Držadlá na nádoby, príbor a pod.",3 kusy za 3 roky,,,,,
K8,K8 Navliekače pančúch a pod.,1 kus jednorazovo,,,,,
K9 ,K9.2 Prístroje inhalačné dýzové a kompresové,1 kus za 10 rokov,10.0,rokov,,,
,K9.3 Prístroje inhalačné ultrazvukové,1 kus jednorazovo,,,,,
,K9.5.2 Výdychomery štandardné pre dospelých,1 kus jednorazovo,,,,,
,K9.6.1 Prístroje na oxygenoterapiu k lôžku poistenca,1 kus jednorazovo,,,,,
,K9.6.2 Prístroje na oxygenoterapiu s možnosťou obmedzeného pohybu poistenca,1 kus jednorazovo,,,,,
,K9.6.3 Prístroje na oxygenoterapiu bez obmedzenia pohybu poistenca,1 kus jednorazovo,,,,,
,K9.7 Fyzioterapeutické pomôcky,1 kus jednorazovo,,,,,
,K9.8.1 Fyzioterapeutické prístroje,1 kus jednorazovo,,,,,
,K9.8.2 Filtre k fyzioterapeutickým prístrojom,2 kusy za mesiac,,,,,
,K9.8.3 Katétre k fyzioterapeutickým prístrojom,60 kusov za mesiac,60.0,kusov za mesiac,60.0,kusov,720.0
,K9.9.1 Protézy hlasové,"1 kus za 6 mesiacov, alebo 2 kusy za rok",6.0,"mesiacov, alebo 2 kusy za rok",,,
,K9.9.3 Príslušenstvo,jedno balenie na 2 mesiace,2.0,mesiace,,,
,K9.9.4 Tracheostomický filter,30 kusov za mesiac,30.0,kusov za mesiac,30.0,kusov,360.0
,"K9.9.5 Tracheostomické kanyly, kovové",raz za 5 rokov,,,,,
,"K9.9.6 Tracheostomické kanyly, plastové",1 kus za 2 mesiace,,,,,
,K9.10.1 Ventilačné prístroje BiPAP,1 kus za 10 rokov,10.0,rokov,,,
,K9.10.2 Ventilačné prístroje BiPAP neinvazívne s objemovou podporou,1 kus za 10 rokov,10.0,rokov,,,
,K9.10.3 Ventilačné prístroje BiPAP s adaptívnou servoventiláciou,1 kus za 10 rokov,10.0,rokov,,,
,K9.10.4 Ventilačné prístroje BiPAP invazívne a neinvazívne,1 kus za 10 rokov,10.0,rokov,,,
,K9.11.1 Ventilačné prístroje CPAP na terapiu spánkového apnoe s príslušenstvom bez zvlhčovača,raz za 10 rokov,10.0,rokov,,,
,K9.11.2 Ventilačné prístroje CPAP na terapiu spánkového apnoe s príslušenstvom a zvlhčovačom,raz za 10 rokov,10.0,rokov,,,
,K9.11.3 Systém respiračný na čistenie sekrétov pri neefektívnom kašli,raz za 10 rokov,10.0,rokov,,,
,"K9.11.4 Systém respiračný na odstraňovanie sekrétov pomocou dekompresných rázov, pre pacientov s respiračným ochorením",1 kus za 10 rokov,10.0,rokov,,,
,K9.12.1 Ostatné príslušenstvo,raz za rok,,,,,
,"K9.12.3 Ostatné príslušenstvo, výdychová súprava",1 balenia (10x25) za 1 rok,1.0,balenia (10x25) za 1 rok,,,
,K9.13.1 Prístroj na meranie zrážanlivosti krvi,raz za 10 rokov,10.0,rokov,,,
,K9.13.2 Prúžky k prístroju na meranie zrážanlivosti krvi,24 kusov za rok,24.0,kusov za rok,2.0,kusov,24.0
,K9.14 Diagnostická pomôcka,1 kus jednorazovo,,,,,
L1,"L1.1 Vozík mechanický, skladací, oceľový",1 kus za 5 rokov,,,,,
,"L1.2 Vozík mechanický, skladací, odľahčený",1 kus za 5 rokov,,,,,
L2,"L2.1 Vozík mechanický špeciálne upravený, polohovateľný",1 kus za 5 rokov,,,,,
,"L2.1.1 Vozík mechanický špeciálne upravený, polohovateľný čiastočne",1 kus za 5 rokov,,,,,
,"L2.1.2 Vozík mechanický špeciálne upravený, polohovateľný v celosti",1 kus za 5 rokov,,,,,
,"L2.2 Vozík mechanický špeciálne upraviteľný na mieru, poloaktívny",1 kus za 5 rokov,,,,,
,"L2.3 Vozík mechanický špeciálne upravený, aktívny, ultraľahký",1 kus za 5 rokov,,,,,
L3,L3.1 Určený prevažne pre interiér,1 kus za 7 rokov,,,,,
,"L3.2 Určený prevažne pre exteriér, mimo cestnej premávky",1 kus za 7 rokov,,,,,
L4,L 4.1.1 Sedačky antidekubitné penové,1 kus za rok,,,,,
,L 4.1.2 Sedačky antidekubitné gélové,1 kus za 2 roky,2.0,roky,,,
,L4.1.3 Sedačky antidekubitné pneumatické,1 kus za 2 roky,2.0,roky,,,
,L 4.2 Ostatné príslušenstvo,1 kus za 5 rokov,,,,,
L5,"L5.1 Kočík, skladací z boku",1 kus za 3 roky,,,,,
,"L5.2 Kočík, polohovateľný, skladací s preklopením chrbtovej opierky",1 kus za 3 roky,,,,,
,L5.3 Interiérová sedačka,1 kus za 3 roky,,,,,
L6,"L6 Príslušenstvo ku kočíku, vozíku",1 kus za 3 roky,,,,,
L7,L7.1 Chodúľa pohyblivá pevná a dvojkolesová,1 kus za 5 rokov,,,,,
,L7.2 Chodúľa troj- a štvorkolesová,1 kus za 5 rokov,,,,,
,L7.3 G-aparát,1 kus za 5 rokov,,,,,
,L7.4 Dynamické a statické vertikalizátory,1 kus za 10 rokov,,,,,
L8,"L8.1 Zdvihák, vaňový",1 kus za 10 rokov,,,,,
,"L8.2 Zdvihák, univerzálny",1 kus za 10 rokov,,,,,
L9,"L9.1 Posteľ polohovacia, detská",1 kus za 10 rokov,,,,,
,L9.2 Posteľ polohovacia,1 kus za 10 rokov,,,,,
L10,"L10 Stolička toaletná, vozík toaletný a príslušenstvo",1 kus jednorazovo,,,,,
L11,"L11 Trojkolesový vozík, príslušenstvo","kus jednorazovo,",,,,,
,,na základe zásadných antropometrických zmien u detí je možné predpísať druhý trojkolesový vozík,,,,,
N1,N1.2 Závesný načúvací prístroj pre dospelých,pri jednostrannej nedoslýchavosti u dospelých kus za 5 rokov,,,,,
,,pri obojstrannej nedoslýchavosti u dospelých 2 kusy za 5 rokov,,,,,
,"N1.3 Zvukovodové načúvacie prístroje pre dospelých a načúvacie prístroje typu RIC, RITE",pri jednostrannej nedoslýchavosti u dospelých kus za 5 rokov,,,,,
,,pri obojstrannej nedoslýchavosti u dospelých 2 kusy za 5 rokov,,,,,
,"N1.4 Detský načúvací prístroj závesný, zvukovodový, RIC, RITE",pri jednostrannej nedoslýchavosti u detí do 18 rokov veku kus za 5 rokov,18.0,rokov veku kus za päť rokov,,,
,,pri obojstrannej nedoslýchavosti u detí do 18 rokov veku 2 kusy za 5 rokov,18.0,rokov veku dva kusy za päť rokov,,,
N4,N4.1 Tinnitus maskér základný,pri jednostrannom tinnite 1 kus za 5 rokov,1.0,kus za 5 rokov,,,
,,pri obojstrannom tinnite 2 kusy za 5 rokov,2.0,kusy za 5 rokov,,,
,N4.2 Tinnitus maskér kombinovaný,pri jednostrannom tinnite 1 kus za 5 rokov,1.0,kus za 5 rokov,,,
,,pri obojstrannom tinnite 2 kusy za 5 rokov,2.0,kusy za 5 rokov,,,
N5,N5.1 Elektrolarynx,raz za 5 rokov,,,,,
O5,O5.1.1 Lupa optická ručná bez osvetlenia,"NKCZO pod 0,3",,,,,
,O5.1.2 Lupa optická ručná s osvetlením,"NKCZO pod 0,3",,,,,
,O5.2.1 Lupa optická príložná bez osvetlenia,"NKCZO pod 0,3 dyslexia",0.3,dyslexia,,,
,O5.2.2 Lupa optická príložná s osvetlením,"NKCZO pod 0,3",,,,,
,"O5.3  Lupa optická, príslušenstvo","NKCZO pod 0,3",,,,,
O6,"O6.1 Optický systém ďalekohľadový s príslušenstvom, monokulárny","NKCZO pod 0,3",,,,,
,"O6.2 Optický systém ďalekohľadový, binokulárny","NKCZO pod 0,3",,,,,
